Stage,Match_ID,Date,Team1,Team2,Prob_T1,Prob_Draw,Prob_T2,RF_Prob_T1,RF_Prob_Draw,RF_Prob_T2,XGB_Prob_T1,XGB_Prob_Draw,XGB_Prob_T2,ANN_Prob_T1,ANN_Prob_Draw,ANN_Prob_T2,Winner,Loser
Group J,,22.06.2026,Argentina,Austria,55.50333333333333,23.679999999999996,20.816666666666666,50.080000000000005,31.15,18.77,60.029999999999994,21.33,18.64,56.39999999999999,18.56,25.040000000000003,Argentina,Austria
Group I,,23.06.2026,France,Iraq,64.96,18.066666666666666,16.973333333333333,68.63,17.130000000000003,14.24,66.05,18.58,15.370000000000001,60.199999999999996,18.490000000000002,21.310000000000002,France,Iraq
Group I,,23.06.2026,Norway,Senegal,32.96333333333333,24.52333333333333,42.51333333333333,29.86,27.1,43.04,25.15,23.669999999999998,51.18000000000001,43.88,22.8,33.32,Senegal,Norway
Group J,,23.06.2026,Jordan,Algeria,21.116666666666667,21.613333333333333,57.27,19.49,22.93,57.58,22.43,21.740000000000002,55.83,21.43,20.169999999999998,58.4,Algeria,Jordan
Group K,,23.06.2026,Portugal,Uzbekistan,58.70666666666667,21.399999999999995,19.893333333333334,59.77,21.68,18.55,58.620000000000005,23.23,18.15,57.730000000000004,19.29,22.98,Portugal,Uzbekistan
Group L,,23.06.2026,England,Ghana,69.84333333333332,17.626666666666665,12.530000000000001,76.35,16.189999999999998,7.46,70.30999999999999,18.21,11.48,62.870000000000005,18.48,18.65,England,Ghana
Group L,,24.06.2026,Panama,Croatia,20.863333333333333,21.78333333333333,57.35333333333333,19.08,23.53,57.38999999999999,17.04,21.709999999999997,61.25000000000001,26.47,20.11,53.42,Croatia,Panama
Group K,,24.06.2026,Colombia,DR Congo,50.46,21.849999999999998,27.689999999999998,45.87,24.15,29.98,51.49,22.85,25.66,54.02,18.55,27.43,Colombia,DR Congo
Group B,,24.06.2026,Switzerland,Canada,40.199999999999996,25.290000000000003,34.51,39.89,30.740000000000002,29.37,47.18,25.46,27.36,33.53,19.67,46.800000000000004,Switzerland,Canada
Group B,,24.06.2026,Bosnia,Qatar,55.57666666666666,20.293333333333333,24.13,60.870000000000005,19.71,19.42,57.35,20.34,22.31,48.51,20.830000000000002,30.659999999999997,Bosnia,Qatar
Group C,,25.06.2026,Scotland,Brazil,25.28,20.78,53.94,27.779999999999998,21.310000000000002,50.91,23.86,22.85,53.290000000000006,24.2,18.18,57.620000000000005,Brazil,Scotland
