tournament_name,Home_Big_Chances_5,Home_Shots_5,Home_Shots_on_Target_5,Home_touches_in_penalty_area_5,Home_big_chances_last_5,Home_final_third_entries_last_5,Home_touches_in_penalty_area_last_5,Home_wins_last_5,Home_goals_last_5,Home_conceded_last_5,Home_gd_last_5,Away_Big_Chances_5,Away_Shots_5,Away_Shots_on_Target_5,Away_touches_in_penalty_area_5,Away_big_chances_last_5,Away_final_third_entries_last_5,Away_touches_in_penalty_area_last_5,Away_wins_last_5,Away_goals_last_5,Away_conceded_last_5,Away_gd_last_5,Home_elo,Away_elo,ELO_diff
Qualifiers,,,,,1.0,86.0,,,,,,0.6666666666666666,8.5,2.75,,0.2962962962962964,144.11111111111114,,,,,,1477.0768468086212,1595.246098837716,-118.16925202909488
Qualifiers,,,,,,,,,,,,,9.333333333333334,4.0,,2.0,40.0,,,,,,1500.0,1552.0631962493735,-52.063196249373505
Qualifiers,,,,,0.0,18.0,,,,,,,,,41.0,,,41.0,,,,,1490.0,1490.4680613818196,-0.4680613818195525
Friendlies & Minor,,11.0,4.0,,1.3333333333333335,120.66666666666667,,,,,,,,,,0.6666666666666667,112.33333333333334,,,,,,1550.5758134343298,1699.1542606986645,-148.57844726433473
Qualifiers,,,,,,,,,,,,,,,,0.0,55.0,,,,,,1500.0,1490.7172522567919,9.28274774320812
Qualifiers,3.5,13.0,3.4,,1.9890260631001377,147.1138545953361,,5.0,11.0,4.0,7.0,,,,,,,,,,,,1724.8482843066722,1500.0,224.8482843066722
Nations League,,,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0,0.0
Qualifiers,,,,,,,,,,,,0.6666666666666666,4.333333333333333,1.6666666666666667,,1.0,104.11111111111111,,,,,,1500.0,1491.8099332111283,8.190066788871718
Qualifiers,,,,,1.0,50.333333333333336,,,,,,1.0,7.8,2.6,,1.2839506172839512,84.35573845450389,,0.0,5.0,15.0,-10.0,1490.5422733983721,1482.087780608503,8.454492789869164
Friendlies & Minor,,8.25,3.75,,,,,4.0,10.0,5.0,5.0,,,,,2.0,95.0,,,,,,1351.0379333164553,1694.0594244193526,-343.02149110289724
Qualifiers,0.75,5.8,2.0,,0.5706447187928674,95.49143931311285,,0.0,5.0,18.0,-13.0,3.25,16.0,5.2,,2.0429812528577966,131.45866991820355,,1.0,5.0,4.0,1.0,1468.3283082301107,1516.496100219218,-48.1677919891074
Friendlies & Minor,2.4,13.8,5.0,,2.4594602223012534,156.1014129508262,,3.0,12.0,5.0,7.0,,14.333333333333334,5.333333333333333,,0.44444444444444453,121.22222222222223,,,,,,1733.1321723188892,1582.020058306857,151.11211401203218
Nations League,,,,,,,,,,,,,,,,,,,,,,,1500.0,1476.5517587549125,23.4482412450875
Nations League,,,,,,,,,,,,2.0,10.5,3.75,,1.1111111111111114,108.8888888888889,,1.0,5.0,7.0,-2.0,1494.905283809059,1346.5759810182706,148.32930279078846
Friendlies & Minor,3.8,18.2,6.2,,3.361987501905198,143.63911327880237,,2.0,7.0,4.0,3.0,,,,,0.0,18.0,,,,,,1525.118534272764,1496.2389453047947,28.879588967969312
Qualifiers,3.8,16.6,6.0,,1.9975970992076264,201.2674991203163,,3.0,6.0,4.0,2.0,3.6666666666666665,11.0,3.8,,4.108266016359296,139.74490677234166,,2.0,7.0,4.0,3.0,1401.0964426749538,1771.8343326138447,-370.73788993889093
Friendlies & Minor,1.6,7.6,2.8,,1.4938271604938274,123.4650205761317,,2.0,3.0,3.0,0.0,1.0,7.4,2.8,,0.4938271604938274,143.8079561042524,,1.0,5.0,8.0,-3.0,1505.2806171632906,1472.376943991323,32.90367317196751
Qualifiers,,10.2,3.6,,0.5812699183289712,77.71575019616479,,0.0,2.0,9.0,-7.0,2.8,10.6,4.6,,2.8740731959584105,151.43713538599144,,3.0,8.0,5.0,3.0,1433.8418032048628,1565.2335004728395,-131.39169726797672
Qualifiers,1.0,8.4,3.8,,0.8641975308641976,118.35802469135803,,0.0,3.0,12.0,-9.0,2.8,14.8,5.0,,2.1452861183085243,171.9383449903188,,3.0,8.0,2.0,6.0,1478.182153950957,1601.7037546690003,-123.52160071804337
Qualifiers,1.2,7.2,2.4,,2.6894782299446227,115.37757342771825,,2.0,7.0,7.0,0.0,1.0,9.4,3.4,,0.29263831732967566,71.31778692272522,,2.0,4.0,10.0,-6.0,1467.8303402956226,1515.655011791648,-47.8246714960253
Qualifiers,1.0,11.75,2.5,,1.7777777777777781,114.3703703703704,,,,,,3.4,18.4,6.8,,4.494216667513422,173.50627256835662,,3.0,10.0,3.0,7.0,1489.135905475916,1549.1116788898958,-59.97577341397982
Qualifiers,2.0,7.6,3.0,,1.5024132500127017,101.84931535203346,,1.0,3.0,13.0,-10.0,3.25,15.8,6.8,,4.6313570085860905,187.21960041973932,,2.0,9.0,7.0,2.0,1463.878556462223,1702.1853543570435,-238.30679789482042
