match_id,match_date,tournament_name,is_neutral_ground,Home Team,Away Team,home_final_score,away_final_score,home_ball_possession,away_ball_possession,home_big_chances,away_big_chances,home_total_shots,away_total_shots,home_goalkeeper_saves,away_goalkeeper_saves,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_passes,away_passes,home_tackles,away_tackles,home_free_kicks,away_free_kicks,home_yellow_cards,away_yellow_cards,home_shots_on_target,away_shots_on_target,home_hit_woodwork,away_hit_woodwork,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_big_chances_scored,away_big_chances_scored,home_big_chances_missed,away_big_chances_missed,home_through_balls,away_through_balls,home_fouled_in_final_third,away_fouled_in_final_third,home_offsides,away_offsides,home_accurate_passes,away_accurate_passes,home_throw-ins,away_throw-ins,home_final_third_entries,away_final_third_entries,home_long_balls,away_long_balls,home_crosses,away_crosses,home_duels,away_duels,home_dispossessed,away_dispossessed,home_ground_duels,away_ground_duels,home_aerial_duels,away_aerial_duels,home_dribbles,away_dribbles,home_tackles_won,away_tackles_won,home_total_tackles,away_total_tackles,home_interceptions,away_interceptions,home_recoveries,away_recoveries,home_clearances,away_clearances,home_total_saves,away_total_saves,home_goal_kicks,away_goal_kicks,home_touches_in_penalty_area,away_touches_in_penalty_area,home_final_third_phase,away_final_third_phase,home_big_saves,away_big_saves,home_red_cards,away_red_cards,home_expected_goals,away_expected_goals,home_punches,away_punches,home_errors_lead_to_a_shot,away_errors_lead_to_a_shot,home_high_claims,away_high_claims,home_penalty_saves,away_penalty_saves,home_errors_lead_to_a_goal,away_errors_lead_to_a_goal,home_goals_prevented,away_goals_prevented
8600893,2020-11-15 17:00:00,"UEFA Nations League, League B, Gr. 4",0,Bulgaria,Finland,1,2,61.0,39.0,3.0,2.0,12.0,9.0,1.0,4.0,3.0,0.0,19.0,20.0,629.0,410.0,11.0,17.0,17.0,16.0,5.0,3.0,5.0,3.0,0.0,0.0,6.0,3.0,1.0,3.0,7.0,3.0,5.0,6.0,1.0,1.0,2.0,1.0,,,6.0,1.0,1.0,1.0,536.0,316.0,15.0,14.0,57.0,51.0,27/54 (50),23/64 (36),5/18 (28),0/3 (0),50.0,50.0,12.0,8.0,36/83 (43),47/83 (57),20/29 (69),9/29 (31),9/14 (64),14/17 (82),73.0,53.0,11.0,17.0,19.0,19.0,,,5.0,23.0,1.0,4.0,4.0,9.0,,,,,,,,,,,,,,,,,,,,,,
8600898,2020-11-15 17:00:00,"UEFA Nations League, League C, Gr. 4",0,Albania,Kazakhstan,3,1,60.0,40.0,5.0,2.0,18.0,12.0,4.0,7.0,5.0,6.0,11.0,22.0,572.0,368.0,15.0,25.0,20.0,11.0,1.0,4.0,11.0,5.0,0.0,0.0,4.0,3.0,3.0,4.0,12.0,5.0,6.0,7.0,2.0,0.0,3.0,2.0,,,7.0,1.0,0.0,1.0,487.0,276.0,27.0,18.0,49.0,54.0,35/55 (64),30/61 (49),5/12 (42),0/15 (0),51.0,49.0,11.0,8.0,54/106 (51),52/106 (49),17/34 (50),17/34 (50),20/34 (59),16/23 (70),80.0,64.0,15.0,25.0,14.0,16.0,,,11.0,17.0,4.0,7.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,
8600894,2020-11-15 19:45:00,"UEFA Nations League, League C, Gr. 3",0,Moldova,Greece,0,2,33.0,67.0,0.0,2.0,6.0,10.0,4.0,0.0,1.0,9.0,17.0,14.0,331.0,685.0,13.0,14.0,13.0,16.0,2.0,1.0,0.0,6.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,7.0,6.0,3.0,,,0.0,2.0,,,1.0,1.0,2.0,0.0,247.0,601.0,22.0,21.0,26.0,61.0,20/58 (34),33/54 (61),0/11 (0),1/23 (4),42.0,58.0,7.0,6.0,29/66 (44),37/66 (56),9/24 (38),15/24 (63),3/10 (30),8/15 (53),46.0,64.0,13.0,14.0,12.0,6.0,,,22.0,4.0,4.0,0.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,
8600909,2020-11-17 19:45:00,"UEFA Nations League, League D, Gr. 1",0,Andorra,Latvia,0,5,38.0,62.0,0.0,5.0,8.0,14.0,2.0,4.0,3.0,7.0,22.0,16.0,207.0,319.0,8.0,12.0,16.0,21.0,6.0,4.0,4.0,7.0,0.0,1.0,3.0,5.0,1.0,2.0,3.0,12.0,5.0,2.0,0.0,3.0,0.0,2.0,,,2.0,6.0,0.0,2.0,122.0,240.0,24.0,28.0,54.0,58.0,26/72 (36),35/64 (55),2/9 (22),10/37 (27),46.0,54.0,5.0,4.0,27/61 (44),34/61 (56),15/31 (48),16/31 (52),6/13 (46),2/6 (33),88.0,58.0,8.0,12.0,15.0,10.0,,,27.0,12.0,2.0,4.0,10.0,4.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,
8600892,2020-11-17 19:45:00,"UEFA Nations League, League C, Gr. 1",0,Luxembourg,Azerbaijan,0,0,56.0,44.0,1.0,0.0,17.0,9.0,1.0,5.0,6.0,6.0,15.0,16.0,500.0,381.0,21.0,18.0,14.0,14.0,4.0,3.0,5.0,1.0,1.0,0.0,8.0,5.0,4.0,3.0,5.0,5.0,12.0,4.0,,,1.0,0.0,,,2.0,2.0,3.0,0.0,393.0,270.0,32.0,24.0,70.0,61.0,31/67 (46),28/69 (41),2/19 (11),4/25 (16),48.0,52.0,14.0,11.0,45/89 (51),44/89 (49),11/27 (41),16/27 (59),10/14 (71),12/22 (55),48.0,78.0,21.0,18.0,19.0,13.0,,,19.0,22.0,1.0,5.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,
8600901,2020-11-18 15:00:00,"UEFA Nations League, League C, Gr. 4",0,Albania,Belarus,3,2,45.0,55.0,3.0,3.0,10.0,11.0,2.0,1.0,9.0,6.0,12.0,16.0,385.0,480.0,17.0,17.0,16.0,11.0,4.0,5.0,4.0,4.0,0.0,0.0,4.0,3.0,2.0,4.0,6.0,6.0,4.0,5.0,2.0,2.0,1.0,1.0,,,3.0,3.0,1.0,2.0,288.0,383.0,21.0,28.0,40.0,41.0,33/61 (54),22/50 (44),5/17 (29),3/17 (18),54.0,46.0,16.0,7.0,40/77 (52),37/77 (48),21/36 (58),15/36 (42),8/9 (89),9/19 (47),65.0,59.0,17.0,17.0,15.0,16.0,,,22.0,18.0,2.0,1.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,
8600891,2020-11-18 15:00:00,"UEFA Nations League, League C, Gr. 4",0,Kazakhstan,Lithuania,1,2,43.0,57.0,0.0,2.0,8.0,14.0,2.0,0.0,4.0,2.0,19.0,11.0,366.0,494.0,23.0,22.0,9.0,18.0,4.0,3.0,1.0,4.0,0.0,1.0,5.0,9.0,2.0,1.0,6.0,7.0,2.0,7.0,0.0,1.0,0.0,1.0,,,2.0,5.0,1.0,2.0,263.0,394.0,22.0,30.0,58.0,52.0,30/79 (38),23/45 (51),6/23 (26),3/10 (30),44.0,56.0,15.0,12.0,38/93 (41),55/93 (59),16/30 (53),14/30 (47),6/13 (46),16/27 (59),70.0,59.0,23.0,22.0,18.0,7.0,,,11.0,28.0,2.0,0.0,12.0,7.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,
8600908,2020-11-18 19:45:00,"UEFA Nations League, League C, Gr. 3",0,Kosovo,Moldova,1,0,61.0,39.0,0.0,1.0,9.0,11.0,1.0,3.0,2.0,3.0,15.0,12.0,557.0,327.0,7.0,15.0,9.0,14.0,2.0,2.0,4.0,1.0,0.0,0.0,2.0,9.0,3.0,1.0,5.0,6.0,4.0,5.0,,,0.0,1.0,,,2.0,6.0,4.0,4.0,466.0,229.0,15.0,18.0,45.0,64.0,46/79 (58),18/54 (33),0/9 (0),6/28 (21),46.0,54.0,11.0,2.0,32/71 (45),39/71 (55),14/30 (47),16/30 (53),16/20 (80),11/16 (69),29.0,27.0,7.0,15.0,12.0,13.0,,,24.0,16.0,1.0,3.0,12.0,6.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,
8600910,2020-11-18 19:45:00,"UEFA Nations League, League B, Gr. 4",0,Ireland,Bulgaria,0,0,58.0,42.0,2.0,0.0,7.0,11.0,1.0,1.0,4.0,6.0,10.0,25.0,506.0,368.0,24.0,11.0,25.0,9.0,2.0,2.0,0.0,1.0,1.0,0.0,7.0,3.0,0.0,7.0,6.0,6.0,1.0,5.0,,,2.0,0.0,,,1.0,0.0,2.0,1.0,400.0,258.0,29.0,28.0,46.0,52.0,30/67 (45),17/62 (27),4/24 (17),4/18 (22),63.0,37.0,7.0,7.0,53/79 (67),26/79 (33),25/45 (56),20/45 (44),5/9 (56),9/26 (35),67.0,55.0,24.0,11.0,11.0,11.0,,,12.0,16.0,1.0,1.0,7.0,16.0,,,,,,,,,,,,,,,,,,,,,,
8600760,2020-11-18 19:45:00,"UEFA Nations League, League A, Gr. 1",0,Bosnia & Herzegovina,Italy,0,2,36.0,64.0,1.0,9.0,7.0,17.0,2.0,1.0,3.0,8.0,13.0,15.0,392.0,704.0,11.0,17.0,14.0,12.0,1.0,2.0,1.0,4.0,0.0,2.0,4.0,12.0,2.0,1.0,4.0,11.0,3.0,6.0,0.0,2.0,1.0,7.0,0.0,3.0,1.0,1.0,2.0,2.0,329.0,615.0,13.0,14.0,35.0,52.0,20/42 (48),31/47 (66),2/11 (18),4/13 (31),47.0,53.0,11.0,8.0,39/80 (49),41/80 (51),5/14 (36),9/14 (64),15/21 (71),12/15 (80),45.0,53.0,11.0,17.0,17.0,17.0,,,9.0,6.0,2.0,1.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,
